"Story","Title","Result","Date","Stability","Duration (s)"
"Products end point CRUD tests","Verify user can create new product successfully","SUCCESS","2022-06-21T21:11:29.022+01:00[Europe/London]","0.0","0.31"
"Products end point CRUD tests","Verify user can read product data successfully","SUCCESS","2022-06-21T21:11:29.425+01:00[Europe/London]","0.0","0.06"
"Products end point CRUD tests","Verify user can update product successfully","SUCCESS","2022-06-21T21:11:29.511+01:00[Europe/London]","0.0","0.07"
"Products end point CRUD tests","Verify user can delete product successfully","SUCCESS","2022-06-21T21:11:29.599+01:00[Europe/London]","0.0","0.05"
"Categories CRUD test","This will create a New Category","SUCCESS","2022-06-21T21:11:18.253+01:00[Europe/London]","0.0","7.27"
"Products CRUD test","This test will Create a new Product","SUCCESS","2022-06-21T21:11:18.274+01:00[Europe/London]","0.0","7.26"
"Services CRUD test","This test will create a New Service","SUCCESS","2022-06-21T21:11:18.668+01:00[Europe/London]","0.0","6.85"
"Services CRUD test","This test will Verify if the services was added to the application","SUCCESS","2022-06-21T21:11:25.540+01:00[Europe/London]","0.0","0.1"
"Categories CRUD test","This test will Verify if the Category was added to the application","SUCCESS","2022-06-21T21:11:25.542+01:00[Europe/London]","0.0","0.1"
"Products CRUD test","This test will verify product was added to the application","SUCCESS","2022-06-21T21:11:25.552+01:00[Europe/London]","0.0","0.09"
"Services CRUD test","This test will Update the Services information","SUCCESS","2022-06-21T21:11:25.647+01:00[Europe/London]","0.0","0.17"
"Products CRUD test","This test will Update the product information","SUCCESS","2022-06-21T21:11:25.649+01:00[Europe/London]","0.0","0.17"
"Categories CRUD test","This test will Update the Category information","SUCCESS","2022-06-21T21:11:25.649+01:00[Europe/London]","0.0","0.16"
"Categories CRUD test","This test will Delete the Category","SUCCESS","2022-06-21T21:11:25.813+01:00[Europe/London]","0.0","1.42"
"Products CRUD test","This test will Get all the products details","SUCCESS","2022-06-21T21:11:25.818+01:00[Europe/London]","0.0","1.47"
"Services CRUD test","This test will Delete the service by ID","SUCCESS","2022-06-21T21:11:25.821+01:00[Europe/London]","0.0","1.45"
"Products CRUD test","This test will Get single product details","SUCCESS","2022-06-21T21:11:27.286+01:00[Europe/London]","0.0","0.04"
"Products CRUD test","This test will Delete product details","SUCCESS","2022-06-21T21:11:27.328+01:00[Europe/London]","0.0","0.07"
"Utilities CRUD test","This test will Get the version of Application","SUCCESS","2022-06-21T21:11:28.460+01:00[Europe/London]","0.0","0.06"
"Utilities CRUD test","This test will Get the Health check of Application","SUCCESS","2022-06-21T21:11:28.520+01:00[Europe/London]","0.0","0.11"
"Stores CRUD test","This test will create a New Store","SUCCESS","2022-06-21T21:11:29.026+01:00[Europe/London]","0.0","0.09"
"Stores CRUD test","This test will verify if the Store was added to the application","SUCCESS","2022-06-21T21:11:29.114+01:00[Europe/London]","0.0","0.03"
"Stores CRUD test","This test will Update the services information","SUCCESS","2022-06-21T21:11:29.147+01:00[Europe/London]","0.0","0.06"
"Stores CRUD test","This test will Delete the services by ID","SUCCESS","2022-06-21T21:11:29.204+01:00[Europe/London]","0.0","0.08"
