"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CRUD test","This will create a New Category","SUCCESS","2022-06-07T14:53:56.452+01:00[Europe/London]","0.0","3.39"
"Categories CRUD test","This test will Verify if the Category was added to the application","SUCCESS","2022-06-07T14:53:59.853+01:00[Europe/London]","0.0","0.07"
"Categories CRUD test","This test will Update the Category information","SUCCESS","2022-06-07T14:53:59.918+01:00[Europe/London]","0.0","0.07"
"Categories CRUD test","This test will Delete the Category","SUCCESS","2022-06-07T14:53:59.985+01:00[Europe/London]","0.0","0.41"
"Products CRUD test","This test will Create a new Product","SUCCESS","2022-06-07T14:54:01.519+01:00[Europe/London]","0.0","0.07"
"Products CRUD test","This test will verify product was added to the application","SUCCESS","2022-06-07T14:54:01.585+01:00[Europe/London]","0.0","0.03"
"Products CRUD test","This test will Update the product information","SUCCESS","2022-06-07T14:54:01.628+01:00[Europe/London]","0.0","0.03"
"Products CRUD test","This test will Get all the products details","SUCCESS","2022-06-07T14:54:01.678+01:00[Europe/London]","0.0","0.87"
"Products CRUD test","This test will Get single product details","SUCCESS","2022-06-07T14:54:02.543+01:00[Europe/London]","0.0","0.03"
"Products CRUD test","This test will Delete product details","SUCCESS","2022-06-07T14:54:02.574+01:00[Europe/London]","0.0","0.05"
"Services CRUD test","This test will create a New Service","SUCCESS","2022-06-07T14:54:02.689+01:00[Europe/London]","0.0","0.04"
"Services CRUD test","This test will Verify if the services was added to the application","SUCCESS","2022-06-07T14:54:02.731+01:00[Europe/London]","0.0","0.04"
"Services CRUD test","This test will Update the Services information","SUCCESS","2022-06-07T14:54:02.773+01:00[Europe/London]","0.0","0.04"
"Services CRUD test","This test will Delete the service by ID","SUCCESS","2022-06-07T14:54:02.817+01:00[Europe/London]","0.0","0.1"
"Stores CRUD test","This test will create a New Store","SUCCESS","2022-06-07T14:54:02.946+01:00[Europe/London]","0.0","0.05"
"Stores CRUD test","This test will verify if the Store was added to the application","SUCCESS","2022-06-07T14:54:02.997+01:00[Europe/London]","0.0","0.03"
"Stores CRUD test","This test will Update the services information","SUCCESS","2022-06-07T14:54:03.030+01:00[Europe/London]","0.0","0.04"
"Stores CRUD test","This test will Delete the services by ID","SUCCESS","2022-06-07T14:54:03.065+01:00[Europe/London]","0.0","0.03"
"Utilities CRUD test","This test will Get the version of Application","SUCCESS","2022-06-07T14:54:03.146+01:00[Europe/London]","0.0","0.02"
"Utilities CRUD test","This test will Get the Health check of Application","SUCCESS","2022-06-07T14:54:03.166+01:00[Europe/London]","0.0","0.1"
